Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-70,-70,-76,-68,-84,-74,127,-82,1,1
-69,-71,-76,-69,-84,-74,-80,127,1,1
-70,-71,-74,-68,-83,-73,-82,127,1,1
-69,127,127,-67,127,-74,-82,-82,1,1
-69,127,-75,-69,127,-73,-81,-82,1,1
-69,-70,-76,-70,127,-74,-81,-81,1,1
-68,-70,-77,-70,127,-75,-81,-82,1,1
-68,-70,-77,-70,127,-75,-81,-81,1,1
-69,-71,-78,-67,-83,-75,-81,-82,1,1
-69,-70,127,-69,-83,-74,-82,127,1,1
127,-72,-77,-69,127,-75,-81,-81,1,1
-69,-70,-77,-69,127,127,-81,127,1,1
-68,-70,-76,-70,-84,-75,-82,-82,1,1
-68,-71,-77,-68,-82,-74,-81,-81,1,1
-69,-70,-77,-69,-83,-74,-80,-82,1,1
-69,-70,-76,-70,-86,-74,-80,-81,1,1
-69,-70,-77,-69,-84,-75,-81,-81,1,1
-68,-69,127,-69,127,-75,-81,-82,1,1
-69,-69,127,-69,127,-74,-81,-81,1,1
-69,-70,127,-69,127,-76,-81,127,1,1
-69,-69,-76,-69,127,-75,-82,-83,1,1
-69,-70,-77,-69,127,127,-81,127,1,1
-69,-70,-77,-69,-83,-75,-81,-82,1,1
-69,-70,-76,-69,-84,-74,-80,-82,1,1
-69,-69,-77,-70,127,-75,-81,-81,1,1
-69,-69,127,-70,127,-75,-81,-81,1,1
-68,-69,-76,-70,-85,-74,-80,-80,1,1
-69,-70,-76,-69,-83,-75,-83,-80,1,1
-69,-70,-76,-69,-86,127,-80,127,1,1
-69,-70,-77,-70,127,-75,-81,127,1,1
-68,-70,-77,-69,127,-75,-79,127,1,1
-69,-70,-77,127,-84,-75,-79,-82,1,1
-69,-69,-77,-69,-83,-74,127,127,1,1
-68,-71,-77,-68,-83,-74,-80,-81,1,1
-70,-71,-76,-69,127,-75,-80,127,1,1
-69,-69,-75,-69,127,-74,-80,-80,1,1
-69,-68,-76,-69,-83,-74,-80,-80,1,1
-68,-68,-76,-69,-83,-74,-81,-83,1,1
-69,-72,-76,-67,127,-74,-80,-85,1,1
-68,-71,-77,-70,-82,-74,-81,-82,1,1
-70,-70,-75,-71,127,-75,-81,127,1,1
-69,-70,-75,-69,127,-74,-78,-83,1,1
-68,-68,-75,-68,127,-74,-81,127,1,1
-70,-71,-75,-70,127,-74,127,127,1,1
-72,-71,-77,-68,127,-74,-81,-81,1,1
-71,-70,-75,-69,127,127,-81,127,1,1
-70,-70,-75,-69,-83,127,-79,127,1,1
-69,-69,127,-70,-84,-74,-80,-83,1,1
-70,-70,-75,-69,-83,-74,127,127,1,1
-70,-69,-75,-69,127,-74,-80,127,1,1
-69,-71,-76,-70,127,-74,-80,-82,1,1
-70,-70,-76,-68,-83,-75,-80,-81,1,1
-70,-70,-76,-69,127,-74,127,-81,1,1
-70,-70,127,-69,127,-75,-80,127,1,1
-70,-69,-76,-70,-84,-74,-80,-81,1,1
-69,-68,-76,-70,127,-73,-80,127,1,1
-70,-68,-76,-69,127,-75,-79,-82,1,1
-69,-72,-77,127,127,-74,-79,-82,1,1
127,-70,127,-69,-84,-76,-79,127,1,1
-69,-71,-77,-69,127,-75,127,-83,1,1
-69,-69,-75,-69,127,-74,-80,127,1,1
-69,-69,-75,-69,127,-75,-80,127,1,1
-69,-69,-76,-69,-82,-73,-80,-83,1,1
-71,-70,127,-69,127,-73,-79,127,1,1
-71,-70,-76,-70,127,-74,-79,-83,1,1
-71,-70,-77,-69,-81,-74,-81,127,1,1
-70,-71,-76,127,127,-75,127,-83,1,1
-70,-73,-77,-69,127,-74,127,-82,1,1
-70,-69,127,-68,127,-73,-79,127,1,1
-70,-69,-76,-69,127,-74,127,-81,1,1
-71,-70,-76,-68,127,-73,-82,-82,1,1
-70,-69,-77,-68,-84,-73,-81,-82,1,1
-70,-69,-76,-68,127,-74,127,-82,1,1
-70,-71,-75,-69,127,-74,-81,-82,1,1
-70,-70,-76,-68,127,-73,-80,127,1,1
127,-70,-77,-69,127,-74,-81,127,1,1
127,-70,127,-70,-84,-74,-81,-84,1,1
-72,-70,-73,-70,-84,127,127,127,1,1
-71,-71,127,127,-83,-74,-80,127,1,1
-71,-70,-76,-69,-84,-74,-82,127,1,1
-69,-69,-75,-69,127,127,-81,-82,1,1
127,-62,-68,-74,127,-77,127,127,1,4
-76,-61,-69,-74,-80,-79,-82,-79,1,4
-79,-61,-68,-73,-79,-79,-80,-76,1,4
-79,-61,-68,-75,-79,-77,-80,-75,1,4
-78,-61,-68,-75,-79,-77,-80,-75,1,4
-79,-61,-67,-75,-79,-78,-81,-76,1,4
-79,-61,-67,-75,-79,-77,127,-76,1,4
-80,-61,-67,-75,127,-77,-81,-76,1,4
-79,-61,-67,-76,-79,-77,-80,-76,1,4
-79,-61,-67,-76,127,-76,-79,-79,1,4
-75,-62,-70,-71,-77,-73,127,127,1,4
-75,-62,-70,-72,-77,-73,127,-76,1,4
-75,-62,-70,-71,-77,-73,127,127,1,4
-74,-62,-70,-71,-77,127,127,-76,1,4
-75,-62,-70,-71,127,-73,-84,-76,1,4
-74,-62,-70,-71,-77,-72,127,-77,1,4
127,-62,-70,-71,-77,-73,127,-76,1,4
-74,-62,-70,-71,-77,-73,127,-76,1,4
-74,-62,-70,-71,-77,-73,-83,-76,1,4
-74,-62,-70,-71,-77,-73,127,-76,1,4
-74,-62,-70,-71,127,-73,127,127,1,4
-74,-62,-70,-71,-77,-73,127,-77,1,4
-75,-62,-70,-71,-77,127,127,127,1,4
-74,-62,-70,-71,127,-73,127,-76,1,4
-74,-62,127,-71,-77,-73,127,-76,1,4
-73,-62,-70,-71,-78,-73,127,-76,1,4
127,-62,127,-71,-76,-72,127,-76,1,4
-74,-62,-71,-71,-78,-74,127,-77,1,4
-74,-64,-70,-71,-77,-72,-83,127,1,4
-74,-62,-70,-71,-77,127,127,127,1,4
-74,-62,127,-71,-77,-73,-83,-76,1,4
-75,127,-70,-71,-77,-73,127,-76,1,4
-75,-62,-70,127,-78,-72,127,-77,1,4
-74,-62,-70,-71,-77,-73,-82,-77,1,4
-74,127,-70,-71,-77,-73,-81,-76,1,4
-74,-62,-71,-71,-77,-73,127,127,1,4
-75,-62,-70,-71,-78,-73,127,-76,1,4
-75,-62,-70,-71,-78,-73,-82,-76,1,4
-76,-62,-70,-71,-77,-73,-82,127,1,4
127,-62,-70,-71,127,127,127,127,1,4
-75,-62,-70,-71,127,-73,127,127,1,4
-75,-62,-70,-71,-78,-73,-82,-75,1,4
-74,-62,-70,-71,-77,-72,-83,-77,1,4
-74,-62,-70,-71,-77,-73,-84,-76,1,4
-74,-62,127,-71,-77,-73,-84,-76,1,4
-75,-62,-70,-71,-77,-72,-84,-76,1,4
-75,-62,127,-71,-77,-72,-84,-77,1,4
-75,-62,-70,-71,-77,-73,127,-76,1,4
-75,-62,-70,-71,127,-73,-83,-77,1,4
-75,-62,-70,-71,-77,-73,127,-76,1,4
-74,-62,-70,-71,-76,-73,127,-75,1,4
-75,-62,-70,-71,-77,-72,127,-76,1,4
-75,-62,-70,-71,-77,-72,127,-76,1,4
-74,-62,-70,-71,-77,-72,127,-76,1,4
-75,-62,-70,-71,-77,-73,127,127,1,4
-75,-62,-69,-71,-77,-72,127,-77,1,4
-75,-62,-70,-71,-77,-73,-82,-76,1,4
-75,-62,-70,-71,-77,-72,127,-76,1,4
-74,-62,127,-71,-78,-73,127,-76,1,4
-74,-62,-70,-71,-77,-73,-83,-76,1,4
-75,-62,-70,-71,127,-72,127,-77,1,4
-75,-62,-70,-71,-77,-73,-84,127,1,4
-74,-62,-70,-71,-77,-73,127,-75,1,4
-74,-62,-70,-71,-77,127,-81,127,1,4
-75,-62,-71,-71,127,-73,-83,-76,1,4
-74,-62,-70,-71,-77,-73,127,127,1,4
-74,-62,-70,-71,-78,-72,127,127,1,4
-75,-62,-70,-71,-78,-72,127,-76,1,4
-74,-62,-70,-71,-78,127,127,-76,1,4
-75,-62,-70,-71,-78,-73,127,-76,1,4
-75,-62,-70,-71,-77,-72,127,-76,1,4
-75,-62,127,-71,-78,-73,-83,-76,1,4
-75,-62,-70,127,-77,-73,127,-77,1,4
-75,-62,-70,-71,-77,-73,127,-77,1,4
-74,-62,-70,127,-78,-72,127,127,1,4
-74,-62,-70,-71,-77,-72,127,-76,1,4
-74,-62,-70,-71,-77,-72,127,-76,1,4
-74,-63,-70,-70,127,-73,127,-77,1,4
-75,-62,-70,-71,-77,-73,127,127,1,4
-75,-62,-70,-71,127,-73,127,127,1,4
-75,-62,-70,-71,-78,-73,127,-76,1,4
-75,-62,-70,-71,127,-73,127,-76,1,4
-75,-62,-70,-71,-77,-73,127,127,1,4
-75,-62,-70,-71,-78,-73,127,-77,1,4
-75,-63,-70,-71,-77,-73,127,-76,1,4
-77,-62,-70,-71,-77,-73,127,-76,1,4
127,-63,-70,-71,127,-73,127,-75,1,4
-75,-62,-70,-71,-77,-73,127,-76,1,4
-75,-62,-70,-71,-77,-73,127,-76,1,4
-75,-62,-70,-71,-77,127,127,-77,1,4
-75,-62,-70,-71,-77,-73,127,-77,1,4
-75,-62,-70,-71,127,-73,127,-77,1,4
-75,-62,-70,-71,-78,-73,-85,-77,1,4
127,-62,-70,-70,-77,-73,127,-76,1,4
-75,-63,-70,-71,-77,-73,127,-76,1,4
-75,-62,-70,-71,-78,-72,127,-77,1,4
-75,-62,-70,-72,-78,-72,127,-77,1,4
-74,-62,-70,-71,-77,-73,127,-77,1,4
-75,-62,-71,-71,-78,-73,127,-76,1,4
-75,-62,-70,-71,-78,-73,127,-76,1,4
-67,-61,-72,-71,-82,127,127,127,0,4
-66,-60,127,-70,127,127,127,-83,0,4
-67,-60,-72,-72,-84,127,127,-81,0,4
-67,-60,127,-72,127,127,127,-80,0,4
-66,-60,-73,-72,127,127,127,-80,0,4
-67,-60,-72,-71,-83,127,127,-79,0,4
-66,127,-72,-71,127,127,127,-82,0,4
-67,-60,-73,-71,-83,127,127,127,0,4
-66,-60,-72,-71,127,127,127,-79,0,4
-68,-60,-72,-72,127,127,127,127,0,4
127,-60,-72,-72,127,127,127,127,0,4
