Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-71,-2.0,22-56-21,-67,4.18,22-56-21,-72,-2.0,22-56-21,-62,4.16,22-56-21,-80,4.14,22-56-21,-72,-2.0,22-56-21,-68,4.16,22-56-21,-76,4.18,22-56-21
-70,4.18,22-56-21,-69,4.19,22-56-21,-71,-2.0,22-56-21,-62,4.17,22-56-21,-80,4.16,22-56-21,-67,4.14,22-56-21,-68,4.15,22-56-21,-77,4.2,22-56-21
-71,4.18,22-56-21,-69,4.18,22-56-21,-71,4.16,22-56-21,-62,-2.0,22-56-21,-80,4.14,22-56-21,-68,-2.0,22-56-21,-69,4.16,22-56-21,-78,4.18,22-56-21
-71,4.18,22-56-21,-68,4.18,22-56-21,-70,4.17,22-56-21,-61,4.17,22-56-21,-80,-2.0,22-56-21,-68,4.13,22-56-21,-69,-2.0,22-56-21,-78,-2.0,22-56-21
-70,4.18,22-56-21,-68,4.18,22-56-21,-71,4.16,22-56-21,-61,4.16,22-56-21,-80,4.14,22-56-21,-69,4.15,22-56-21,-67,-2.0,22-56-21,-78,-2.0,22-56-21
-71,4.18,22-56-21,-69,4.19,22-56-21,-72,-2.0,22-56-21,-61,4.16,22-56-21,-81,4.15,22-56-21,-69,4.13,22-56-21,-69,-2.0,22-56-21,-78,4.19,22-56-21
-72,-2.0,22-56-21,-71,-2.0,22-56-21,-72,-2.0,22-56-21,-62,4.16,22-56-21,-80,4.14,22-56-21,-69,4.13,22-56-21,-70,4.16,22-56-21,-79,4.2,22-56-21
-71,4.18,22-56-21,-70,-2.0,22-56-21,-73,4.15,22-56-21,-61,4.17,22-56-21,-83,4.15,22-56-21,-69,4.14,22-56-21,-69,4.16,22-56-21,-79,4.19,22-56-21
-70,4.18,22-56-21,-71,-2.0,22-56-21,-74,4.16,22-56-21,-62,4.16,22-56-21,-81,4.14,22-56-21,-68,4.13,22-56-21,-69,-2.0,22-56-21,-77,4.19,22-56-21
-70,4.18,22-56-21,-70,-2.0,22-56-21,-76,4.16,22-56-21,-62,4.17,22-56-21,-80,-2.0,22-56-21,-69,4.15,22-56-21,-68,4.16,22-56-21,-77,4.19,22-56-21
