Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-75,4.18,22-56-37,-80,-2.0,22-56-37,-79,4.16,22-56-37,-60,-2.0,22-56-37,-80,-2.0,22-56-37,-65,4.14,22-56-37,-63,-2.0,22-56-37,-82,-2.0,22-56-37
-74,4.18,22-56-37,127,-99.0,22-56-37,-78,4.16,22-56-37,-60,4.16,22-56-37,-84,4.15,22-56-37,-65,-2.0,22-56-37,-63,-2.0,22-56-37,127,-99.0,22-56-37
-75,4.18,22-56-37,127,-99.0,22-56-37,-77,4.16,22-56-37,-60,4.16,22-56-37,-82,-2.0,22-56-37,-66,4.13,22-56-37,-63,4.17,22-56-37,-81,-2.0,22-56-37
-74,4.19,22-56-37,127,-99.0,22-56-37,-76,4.15,22-56-37,-60,4.16,22-56-37,-80,4.15,22-56-37,-65,4.13,22-56-37,-63,4.16,22-56-37,-81,-2.0,22-56-37
-73,-2.0,22-56-37,127,-99.0,22-56-37,-78,-2.0,22-56-37,-61,4.18,22-56-37,-81,4.15,22-56-37,-65,4.13,22-56-37,-62,4.15,22-56-37,-82,4.18,22-56-37
-74,4.19,22-56-37,127,-99.0,22-56-37,-78,4.17,22-56-37,-60,4.16,22-56-37,-82,-2.0,22-56-37,-65,4.15,22-56-37,-63,-2.0,22-56-37,-84,-2.0,22-56-37
-73,-2.0,22-56-37,127,-99.0,22-56-37,-79,4.17,22-56-37,-60,4.16,22-56-37,-81,-2.0,22-56-37,-66,4.14,22-56-37,-63,4.18,22-56-37,-82,4.18,22-56-37
-72,4.18,22-56-37,-81,4.18,22-56-37,-79,4.16,22-56-37,-60,-2.0,22-56-37,-80,-2.0,22-56-37,-65,4.14,22-56-37,-62,-2.0,22-56-37,-82,4.18,22-56-37
-74,-2.0,22-56-37,-82,4.18,22-56-37,-77,-2.0,22-56-37,-60,4.16,22-56-37,-82,4.14,22-56-37,-65,-2.0,22-56-37,-63,4.18,22-56-37,-81,4.19,22-56-37
-75,-2.0,22-56-37,127,-99.0,22-56-37,-78,4.16,22-56-37,-61,4.17,22-56-37,-82,-2.0,22-56-37,-65,4.13,22-56-37,-63,4.16,22-56-37,-83,4.18,22-56-37
