Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord,RSSI_Mean,RSSI_Variance,RSSI_Median
-54,-77,-74,127,127,-78,127,-71,0,0,3.375,10534.55357142857,-62.5
-54,-77,127,-81,127,127,-81,-71,0,0,2.125,10765.55357142857,-62.5
-54,127,127,127,127,127,127,-71,0,0,79.625,7715.696428571428,127.0
-54,-77,-74,-82,127,127,-82,-70,0,0,-23.125,8664.125,-72.0
-54,-77,127,127,127,-78,-80,-70,0,0,2.75,10650.785714285714,-62.0
-54,-78,-75,127,127,127,-79,127,0,0,27.75,11317.357142857143,36.5
-54,-78,127,127,127,-77,-81,-71,0,0,2.5,10695.42857142857,-62.5
-54,127,127,-82,127,-77,127,-71,0,0,28.0,11264.857142857143,36.5
-54,-76,-74,-83,127,127,-79,-71,0,0,-22.875,8630.125,-72.5
-54,-76,127,-83,127,127,-80,-71,0,0,2.125,10767.55357142857,-62.5
-54,127,-75,-83,127,-79,-79,-71,0,0,-23.375,8691.410714285714,-73.0
-54,-77,-75,-83,127,-78,-79,-71,0,0,-48.75,5120.214285714285,-76.0
-54,-77,-75,127,127,-78,-79,-71,0,0,-22.5,8577.714285714286,-73.0
-54,-76,127,127,127,-78,-79,-71,0,0,2.875,10625.55357142857,-62.5
-54,-76,127,-80,127,127,-80,127,0,0,27.25,11438.214285714286,36.5
-54,-77,-74,-83,127,-77,127,-72,0,0,-22.875,8627.839285714286,-73.0
-54,127,-74,127,127,-78,-80,-71,0,0,3.0,10604.57142857143,-62.5
-54,127,-74,127,127,-78,-81,-71,0,0,2.875,10628.410714285714,-62.5
-54,-76,-74,-85,127,-77,127,-71,0,0,-22.875,8633.55357142857,-72.5
-54,-77,127,-83,127,127,-80,-71,0,0,2.0,10790.0,-62.5
-54,127,127,127,127,-78,-79,-71,0,0,28.25,11201.92857142857,36.5
-54,-77,127,-84,127,-78,-80,-71,0,0,-23.75,8738.785714285714,-74.0
-54,-77,127,127,127,-78,-79,127,0,0,27.5,11376.57142857143,36.5
-54,-76,127,-83,127,127,-80,127,0,0,26.875,11531.267857142857,36.5
-54,-77,-73,127,127,127,-79,-71,0,0,3.375,10535.982142857143,-62.5
-54,-77,-74,-84,127,-78,127,-71,0,0,-23.0,8646.857142857143,-72.5
-54,-77,-74,127,127,-78,-80,-71,0,0,-22.5,8579.142857142857,-72.5
-54,-76,127,127,127,-79,-80,-71,0,0,2.625,10672.267857142857,-62.5
-54,127,127,-81,127,127,127,-71,0,0,53.625,10308.267857142857,127.0
-54,-76,-74,127,127,-77,127,-71,0,0,3.625,10488.55357142857,-62.5
-54,127,127,127,127,127,-81,-72,0,0,53.5,10344.0,127.0
-54,127,127,127,127,127,-80,-71,0,0,53.75,10269.92857142857,127.0
-54,-76,-74,-80,127,-79,-80,-71,0,0,-48.375,5093.982142857143,-75.0
-54,-75,127,-82,127,127,-80,-71,0,0,2.375,10721.125,-62.5
-54,-76,-75,-81,127,-78,-80,127,0,0,-23.75,8729.642857142857,-75.5
-54,127,127,-81,127,-78,-79,-71,0,0,2.25,10741.357142857143,-62.5
-54,-76,127,-81,127,-78,-79,-71,0,0,-23.125,8656.982142857143,-73.5
-54,-75,127,-83,127,-78,-79,-72,0,0,-23.375,8689.410714285714,-73.5
-54,-76,127,127,127,-78,127,-71,0,0,28.625,11111.125,36.5
-54,-77,127,-82,127,-77,-80,-71,0,0,-23.375,8689.410714285714,-74.0
-54,-77,127,127,127,-77,-80,-71,0,0,2.75,10648.785714285714,-62.5
-54,-77,-74,127,127,-78,-80,-71,0,0,-22.5,8579.142857142857,-72.5
-54,-77,127,127,127,127,127,-71,0,0,54.125,10156.410714285714,127.0
-54,-76,127,-84,127,127,127,-71,0,0,27.875,11298.410714285714,36.5
-54,127,127,127,127,127,-80,-71,0,0,53.75,10269.92857142857,127.0
-54,-77,127,-83,127,127,-80,-71,0,0,2.0,10790.0,-62.5
-54,-77,127,127,127,-78,127,-71,0,0,28.5,11141.142857142857,36.5
-54,-76,127,127,127,127,127,-71,0,0,54.25,10119.07142857143,127.0
-54,-76,127,127,127,-78,-79,-71,0,0,2.875,10625.55357142857,-62.5
-54,-76,-74,-84,127,127,-80,-71,0,0,-23.125,8663.55357142857,-72.5
-54,-76,127,127,127,-78,127,-71,0,0,28.625,11111.125,36.5
-54,-76,-74,-84,127,-77,-80,-71,0,0,-48.625,5115.410714285715,-75.0
-54,-77,-74,127,127,-78,-81,-71,0,0,-22.625,8595.69642857143,-72.5
-54,-76,127,127,127,127,-78,-71,0,0,28.625,11111.125,36.5
-54,127,127,127,127,-77,-78,127,0,0,53.25,10412.785714285714,127.0
-54,-76,-74,127,127,127,-80,-71,0,0,3.25,10558.785714285714,-62.5
-54,-76,127,127,127,-77,-79,-70,0,0,3.125,10581.55357142857,-62.0
-54,127,-74,127,127,-78,127,127,0,0,53.625,10302.267857142857,127.0
-54,-76,127,-83,127,127,-79,-73,0,0,2.0,10786.57142857143,-63.5
-54,127,127,127,127,127,-80,-72,0,0,53.625,10305.69642857143,127.0
-54,127,127,-82,127,-78,-79,-72,0,0,2.0,10786.285714285714,-63.0
-54,-76,127,-82,127,127,127,-72,0,0,28.0,11263.42857142857,36.5
-54,127,-74,-82,127,-78,-80,-72,0,0,-23.25,8673.92857142857,-73.0
-54,-76,-74,127,127,127,-80,-72,0,0,3.125,10580.125,-63.0
-54,-76,-73,127,127,127,-79,-72,0,0,3.375,10534.55357142857,-63.0
-54,-77,-73,127,127,-78,-80,-72,0,0,-22.5,8578.57142857143,-72.5
-54,-76,-73,-82,-88,127,-80,-72,0,0,-49.75,5200.214285714285,-74.5
-54,-77,127,-82,127,127,-80,-72,0,0,2.0,10786.857142857143,-63.0
-54,127,-74,-82,127,-78,-80,-71,0,0,-23.125,8660.125,-72.5
-54,127,-75,127,127,-78,-79,127,0,0,27.75,11317.357142857143,36.5
-54,127,127,-82,127,-77,-79,-71,0,0,2.25,10742.5,-62.5
-54,-76,127,-82,127,127,-81,-71,0,0,2.125,10766.982142857143,-62.5
-54,127,-74,127,127,127,-79,-71,0,0,28.75,11082.5,36.5
-54,127,-74,-81,127,127,-81,-72,0,0,2.375,10719.982142857143,-63.0
-54,127,-74,-82,127,-78,-80,-72,0,0,-23.25,8673.92857142857,-73.0
-54,-76,127,-79,127,127,-80,-72,0,0,2.5,10693.42857142857,-63.0
-54,-77,127,127,127,-79,-80,-72,0,0,2.375,10715.982142857143,-63.0
-54,-76,-74,127,127,-79,-80,-72,0,0,-22.625,8593.69642857143,-73.0
-54,-77,-74,-81,127,127,127,-72,0,0,2.875,10626.69642857143,-63.0
-54,127,127,-81,127,-79,-79,-72,0,0,2.0,10785.42857142857,-63.0
-54,-76,127,127,127,-78,-80,-72,0,0,2.625,10670.267857142857,-63.0
-54,-76,-74,-80,127,-78,-81,-71,0,0,-48.375,5094.553571428572,-75.0
-54,-76,-75,-80,127,127,-80,-71,0,0,-22.75,8610.785714285714,-73.0
-54,127,-74,-80,127,-78,-80,-72,0,0,-23.0,8640.857142857143,-73.0
-54,-75,-74,-79,127,127,127,-72,0,0,3.375,10533.982142857143,-63.0
-54,-76,127,-81,127,127,-78,-72,0,0,2.5,10694.0,-63.0
-54,-78,-74,127,127,127,-79,-72,0,0,3.0,10602.285714285714,-63.0
-54,-77,127,-82,127,127,-78,-71,0,0,2.375,10719.410714285714,-62.5
-54,-76,-74,127,127,-78,-79,-72,0,0,-22.375,8561.410714285714,-73.0
-54,-77,-73,127,127,-78,-79,-71,0,0,-22.25,8548.214285714286,-72.0
-54,127,127,127,127,-79,-79,-71,0,0,28.125,11232.410714285714,36.5
-54,127,127,127,127,-78,-79,-72,0,0,28.125,11230.410714285714,36.5
127,-77,-74,127,127,127,-79,-72,0,0,25.75,11720.214285714286,27.5
-54,-77,-74,-80,127,127,-79,-72,0,0,-22.75,8609.07142857143,-73.0
-54,-77,-74,-80,127,127,-79,-72,0,0,-22.75,8609.07142857143,-73.0
-54,-77,-74,-80,127,-78,-79,-71,0,0,-48.25,5084.5,-75.5
-54,-77,-74,-83,127,127,-80,-71,0,0,-23.125,8661.55357142857,-72.5
-54,-78,127,-82,127,-78,-80,-71,0,0,-23.625,8720.267857142857,-74.5
-54,127,127,-80,127,-79,-79,-72,0,0,2.125,10761.839285714286,-63.0
-54,-77,-74,127,127,127,-80,127,0,0,27.875,11288.69642857143,36.5
-54,127,-74,-83,127,-80,-80,-72,0,0,-23.625,8722.55357142857,-73.0
-54,-77,127,127,127,-79,-79,-72,0,0,2.5,10692.57142857143,-63.0
-54,-77,-74,127,127,-78,-80,-72,0,0,-22.625,8593.125,-73.0
-54,-77,127,127,127,-80,-80,-72,0,0,2.25,10739.357142857143,-63.0
-54,-77,-74,127,127,-78,-80,-71,0,0,-22.5,8579.142857142857,-72.5
-54,-77,-74,127,127,-78,-80,127,0,0,2.25,10735.92857142857,-64.0
-54,-76,127,127,127,-78,-79,-71,0,0,2.875,10625.55357142857,-62.5
-54,-76,-75,127,127,127,127,-71,0,0,29.0,11020.857142857143,36.5
-54,-78,-75,-82,127,127,-80,127,0,0,1.5,10874.0,-64.5
127,-76,-75,127,127,-78,-80,-71,0,0,0.125,11044.69642857143,-73.0
