Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-54,-75,-78,127,127,-76,127,-71,0,0
-54,-75,-78,127,127,-77,-80,-71,0,0
-54,127,-76,127,127,-78,-80,-71,0,0
-54,-74,-75,-82,127,-77,-79,-71,0,0
-54,-74,-75,-77,127,-77,-83,127,0,0
-54,-75,127,-78,127,127,-81,-72,0,0
-54,-75,-77,-77,127,-78,-79,127,0,0
-54,127,-75,-78,127,-77,127,-72,0,0
-54,127,-77,-80,127,127,-80,-72,0,0
-54,127,-77,-79,127,127,-80,-71,0,0
-54,-75,127,-78,127,-76,-80,-72,0,0
-54,-74,-77,-80,127,-77,-80,127,0,0
-55,-75,-77,-79,127,127,127,-72,0,0
-54,-75,127,-79,-84,127,-81,-72,0,0
-54,127,127,127,127,-76,-82,-72,0,0
-54,127,-76,-80,127,-76,-79,127,0,0
-55,127,-75,-78,127,-76,-80,-72,0,0
-55,-75,-76,127,127,-77,-80,-71,0,0
-54,-75,-77,-79,127,127,-80,-72,0,0
-54,-75,-77,127,127,127,-80,-72,0,0
-54,127,-77,127,-86,-77,-79,-71,0,0
-55,-75,127,-78,-84,-77,127,-72,0,0
-54,-74,127,-78,127,127,-79,127,0,0
-54,127,127,-78,127,-75,-79,-72,0,0
-54,-74,-77,-76,127,-76,-79,-71,0,0
-54,-74,-77,-77,127,127,-79,-72,0,0
-54,-74,-76,-77,127,127,-78,-72,0,0
-55,-74,-76,-78,127,127,127,-72,0,0
-54,-74,-76,-79,127,-76,127,127,0,0
-55,127,127,127,127,127,-79,-71,0,0
-54,127,-76,-79,127,-76,-79,-71,0,0
-54,-74,-76,-79,127,127,-79,-71,0,0
-55,-74,-76,-77,127,127,-79,127,0,0
-54,-74,-77,-77,127,127,-79,-71,0,0
-55,127,127,-80,127,-75,127,-72,0,0
-55,-75,-76,127,127,-76,-79,-71,0,0
-54,-74,-76,-77,127,127,127,-72,0,0
-55,127,127,-78,127,-77,-80,-72,0,0
-55,-74,-76,127,127,127,-80,-72,0,0
-55,-74,127,127,-88,127,-80,-72,0,0
-54,127,-75,-78,127,-76,127,-71,0,0
-55,-74,-76,-79,127,-76,-79,-71,0,0
-55,-75,127,-78,127,-76,-79,-71,0,0
-54,-74,127,-78,127,127,-80,-71,0,0
-55,127,127,-77,127,127,-79,-71,0,0
-55,127,-77,-78,127,127,-79,-72,0,0
-55,127,127,127,127,-77,-79,-72,0,0
-54,-74,-77,-77,127,127,-79,-72,0,0
-55,-74,-76,-78,127,127,-81,-72,0,0
-55,-74,-76,127,127,-77,127,-72,0,0
-55,-74,127,-78,127,-77,-79,-71,0,0
-54,127,127,127,127,127,-81,-72,0,0
-55,-75,-77,-79,127,127,-81,-72,0,0
-55,127,-76,127,127,127,127,127,0,0
-54,127,-76,-79,127,127,-81,-72,0,0
-55,-74,-76,127,127,127,-79,-71,0,0
-55,127,-76,-78,127,-76,-78,-71,0,0
-55,-76,-77,127,127,127,-79,-72,0,0
-55,-75,127,127,127,-76,-79,-71,0,0
-55,-75,127,127,127,-76,127,-71,0,0
-55,-75,127,127,127,-76,-80,-72,0,0
-55,127,-77,-78,127,-77,-79,-72,0,0
127,-67,-69,-70,127,127,127,-69,0,1
-84,-67,-68,127,-85,127,-75,-68,0,1
-84,-68,-68,-69,127,-77,-76,-69,0,1
-83,-68,127,-69,127,127,-78,-68,0,1
127,-68,127,127,-86,-75,127,-68,0,1
-82,-67,127,127,127,127,-78,-69,0,1
127,-69,127,-72,-85,-76,-77,127,0,1
-85,127,-68,-72,127,-77,127,-69,0,1
-84,127,-68,-71,127,-75,-76,-69,0,1
127,-70,-69,127,127,-76,-77,-69,0,1
