Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-64,4.18,22-54-09,-63,4.18,22-54-09,-69,4.18,22-54-09,-74,4.18,22-54-09,127,-99.0,22-54-09,-72,-2.0,22-54-09,-77,-2.0,22-54-09,127,-99.0,22-54-09
-72,-2.0,22-54-09,-64,4.2,22-54-09,-69,4.18,22-54-09,-63,4.16,22-54-09,127,-99.0,22-54-09,-73,-2.0,22-54-09,-81,-2.0,22-54-09,127,-99.0,22-54-09
-71,-2.0,22-54-09,-64,4.18,22-54-09,-68,4.16,22-54-09,-63,4.16,22-54-09,127,-99.0,22-54-09,-73,4.13,22-54-09,-80,4.16,22-54-09,127,-99.0,22-54-09
-72,4.18,22-54-09,-63,4.2,22-54-09,-65,4.16,22-54-09,-64,4.17,22-54-09,127,-99.0,22-54-09,-72,4.13,22-54-09,-78,4.16,22-54-09,127,-99.0,22-54-09
-68,4.19,22-54-09,-64,4.18,22-54-09,-64,4.17,22-54-09,-65,4.18,22-54-09,127,-99.0,22-54-09,-72,4.13,22-54-09,127,-99.0,22-54-09,127,-99.0,22-54-09
-70,4.19,22-54-09,-64,4.2,22-54-09,-66,4.17,22-54-09,-65,-2.0,22-54-09,127,-99.0,22-54-09,-72,4.13,22-54-09,127,-99.0,22-54-09,127,-99.0,22-54-09
-70,4.18,22-54-09,-64,4.17,22-54-09,-67,4.17,22-54-09,-66,-2.0,22-54-09,127,-99.0,22-54-09,-72,4.13,22-54-09,-85,4.16,22-54-09,127,-99.0,22-54-09
-70,4.19,22-54-09,-64,4.18,22-54-09,-66,4.16,22-54-09,-65,-2.0,22-54-09,127,-99.0,22-54-09,-72,4.15,22-54-09,-83,4.16,22-54-09,127,-99.0,22-54-09
-68,4.19,22-54-09,-63,4.18,22-54-09,-66,4.17,22-54-09,-65,4.16,22-54-09,127,-99.0,22-54-09,-72,4.15,22-54-09,-84,-2.0,22-54-09,127,-99.0,22-54-09
-70,4.18,22-54-09,-64,-2.0,22-54-09,-66,4.16,22-54-09,-65,4.18,22-54-09,127,-99.0,22-54-09,-72,4.13,22-54-09,127,-99.0,22-54-09,127,-99.0,22-54-09
